               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10563,            0.020461,                   0,          0.00075429,            0.089978,          0.00051464,          0.00012608,            0.095251,            0.025315,                   0,            0.070294,           0.0033007,           0.0033007
                   1,             0.10074,            0.020773,                   0,           0.0017525,             0.20905,           0.0019374,          0.00046585,            0.092982,            0.025428,                   0,            0.040175,           0.0065146,           0.0065146
                   2,            0.091369,            0.021662,                   0,             0.13988,             0.12931,            0.058027,            0.017038,            0.085491,            0.026675,                   0,           0.0099353,           0.0096085,           0.0096085
                   3,            0.082995,            0.021473,                   0,             0.19393,             0.18966,             0.10468,              0.0353,            0.074047,              0.0393,                   0,             0.00946,             0.00946,             0.00946
                   4,            0.078972,            0.021001,                   0,             0.23779,             0.25754,               0.157,            0.055425,            0.066477,            0.022518,                   0,             0.00946,             0.00946,             0.00946
                   5,              0.0761,            0.020993,                   0,             0.20606,             0.21354,             0.12047,            0.040749,            0.069996,            0.028481,                   0,             0.00928,             0.00928,             0.00928
                   6,            0.073954,            0.020668,                   0,             0.30985,             0.28233,             0.21267,            0.079154,            0.068158,            0.022876,                   0,              0.0091,              0.0091,              0.0091
                   7,            0.072151,            0.020623,                   0,              0.3723,             0.29741,             0.25781,            0.097096,            0.063946,            0.020753,                   0,             0.00892,             0.00892,             0.00892
                   8,             0.07125,            0.020551,                   0,             0.40382,             0.33064,             0.30134,             0.11924,            0.059229,            0.021052,                   0,             0.00874,             0.00874,             0.00874
                   9,            0.070231,            0.019834,                   0,             0.42288,             0.37338,             0.33904,             0.13582,            0.059145,            0.020454,                   0,             0.00856,             0.00856,             0.00856
                  10,            0.069199,            0.019828,                   0,             0.43632,              0.3847,             0.35239,             0.13775,            0.059341,            0.021078,                   0,             0.00838,             0.00838,             0.00838
                  11,            0.068281,            0.020059,                   0,             0.49598,             0.40826,             0.39681,             0.16036,            0.057607,            0.019564,                   0,              0.0082,              0.0082,              0.0082
                  12,            0.067296,            0.019247,                   0,             0.46841,             0.40517,             0.41073,             0.16145,            0.057027,            0.019984,                   0,             0.00802,             0.00802,             0.00802
                  13,            0.066377,            0.019366,                   0,              0.4675,             0.45312,             0.42357,             0.16747,            0.055434,            0.019238,                   0,             0.00784,             0.00784,             0.00784
                  14,            0.065886,            0.019144,                   0,             0.55139,             0.44237,             0.47127,             0.19954,             0.05367,            0.019348,                   0,             0.00766,             0.00766,             0.00766
                  15,            0.065256,            0.018958,                   0,             0.54579,             0.48761,             0.49395,             0.20373,            0.052454,             0.01872,                   0,             0.00748,             0.00748,             0.00748
                  16,            0.064196,            0.018709,                   0,             0.57078,             0.45259,             0.50494,             0.22118,            0.052253,            0.018449,                   0,              0.0073,              0.0073,              0.0073
                  17,            0.063365,            0.018731,                   0,              0.5948,             0.46584,             0.50791,             0.22268,            0.052223,            0.018635,                   0,             0.00712,             0.00712,             0.00712
                  18,            0.062694,            0.018498,                   0,             0.56709,             0.46228,             0.49592,             0.19975,            0.052935,            0.018209,                   0,             0.00694,             0.00694,             0.00694
                  19,            0.062192,             0.01845,                   0,             0.64757,             0.49084,             0.56272,             0.24573,            0.050507,            0.017738,                   0,             0.00676,             0.00676,             0.00676
                  20,            0.061914,            0.018462,                   0,             0.61693,             0.51239,             0.56537,             0.24894,            0.049642,            0.017889,                   0,             0.00658,             0.00658,             0.00658
                  21,            0.061528,            0.018429,                   0,             0.63051,             0.53718,               0.583,             0.25081,            0.050184,            0.017387,                   0,              0.0064,              0.0064,              0.0064
